Profiling of hundred theorems:
proof-grab-lock                                                 2           2.2e-05       1.1e-05
proof-shell-strip-eager-annotations                             2           2.2e-05       1.1e-05
proof-maybe-follow-locked-end                                   2           1.2e-05       6e-06
proof-shell-stop-silent-item                                    2           1.1e-05       5.5e-06
proof-shell-start-silent-item                                   2           1.1e-05       5.5e-06
proof-setup-retract-action                                      2           7e-06         3.5e-06
proof-shell-action-list-item                                    4           6.999...e-06  1.749...e-06
proof-locked-end                                                2           6e-06         3e-06
proof-queue-or-locked-end                                       4           4e-06         1e-06
proof-shell-should-be-silent                                    2           3e-06         1.5e-06
proof-display-and-keep-buffer                                   2           3e-06         1.5e-06
proof-shell-set-silent                                          2           2e-06         1e-06
proof-shell-clear-silent                                        2           2e-06         1e-06
proof-script-next-command-advance                               1           2e-06         2e-06
proof-release-lock                                              2           2e-06         1e-06
pg-finish-tracing-display                                       2           2e-06         1e-06
isar-remove                                                     1           2e-06         2e-06
proof-pbp-focus-on-first-goal                                   2           1e-06         5e-07


-----------------------------------------------------------------

disabling shell cleaning

proof-shell-filter-manage-output                                205         0.2435890000  0.0011882390
proof-shell-exec-loop                                           205         0.2398479999  0.0011699902
proof-shell-insert                                              205         0.1606790000  0.0007838000
proof-toolbar-find-enable-p                                     431         0.0806610000  0.0001871484
proof-toolbar-retract-enable-p                                  431         0.0792429999  0.0001838584
proof-locked-region-empty-p                                     432         0.0777940000  0.0001800787
proof-done-advancing                                            203         0.0700679999  0.0003451625
scomint-send-string                                             205         0.0527400000  0.0002572682
proof-done-advancing-save                                       100         0.0341680000  0.00034168
proof-toolbar-next-enable-p                                     862         0.0243430000  2.824...e-05
proof-locked-region-full-p                                      863         0.0218720000  2.534...e-05
proof-make-goalsave                                             100         0.0196210000  0.0001962100
pg-set-span-helphighlights                                      303         0.0194000000  6.402...e-05
proof-string-match                                              1316        0.0168150000  1.277...e-05
proof-shell-available-p                                         3017        0.0122670000  4.065...e-06
proof-toolbar-use-enable-p                                      431         0.0112489999  2.609...e-05
pg-add-proof-element                                            100         0.0103299999  0.0001032999
proof-done-advancing-other                                      103         0.0080660000  7.831...e-05
pg-last-output-displayform                                      303         0.0080109999  2.643...e-05
proof-set-overlay-arrow                                         203         0.0077329999  3.809...e-05
proof-get-name-from-goal                                        100         0.0066490000  6.649...e-05
proof-shell-strip-output-markup                                 303         0.0060620000  2.000...e-05
proof-shell-process-urgent-messages                             205         0.005429      2.648...e-05
isar-global-save-command-p                                      100         0.0053289999  5.328...e-05
pg-processing-complete-hint                                     1           0.005194      0.005194
isar-strip-output-markup                                        304         0.0049429999  1.625...e-05
isar-shell-adjust-line-width                                    205         0.0044570000  2.174...e-05
proof-toolbar-state-enable-p                                    431         0.0043999999  1.020...e-05
proof-string-match-safe                                         203         0.0041589999  2.048...e-05
scomint-check-proc                                              3224        0.0036730000  1.139...e-06
isar-goal-command-p                                             203         0.0028909999  1.424...e-05
proof-toolbar-delete-enable-p                                   431         0.0028049999  6.508...e-06
proof-toolbar-undo-enable-p                                     431         0.0027749999  6.438...e-06
proof-toolbar-info-enable-p                                     431         0.0025189999  5.844...e-06
proof-toolbar-context-enable-p                                  431         0.0025069999  5.816...e-06
proof-toolbar-command-enable-p                                  431         0.0024369999  5.654...e-06
proof-shell-classify-output                                     205         0.0019569999  9.546...e-06
pg-hint                                                         1           0.001928      0.001928
proof-replace-regexp-in-string                                  205         0.0016949999  8.268...e-06
pg-add-element                                                  100         0.0016770000  1.677...e-05
proof-shell-process-urgent-message                              1           0.001473      0.001473
proof-shell-message                                             1           0.00126       0.00126
proof-next-element-id                                           100         0.0012599999  1.259...e-05
pg-span-name                                                    303         0.0012540000  4.138...e-06
proof-unprocessed-begin                                         1311        0.0012240000  9.336...e-07
pg-add-to-input-history                                         103         0.0012010000  1.166...e-05
proof-shell-live-buffer                                         205         0.0011310000  5.517...e-06
proof-process-buffer                                            1           0.000884      0.000884
proof-assert-until-point-interactive                            1           0.000848      0.000848
proof-assert-until-point                                        1           0.000845      0.000845
proof-assert-semis                                              1           0.000686      0.000686
proof-goto-end-of-locked                                        3           0.000527      0.0001756666
proof-element-id                                                100         0.0003679999  3.679...e-06
proof-semis-to-vanillas                                         1           0.000335      0.000335
proof-extend-queue                                              1           0.000324      0.000324
proof-toolbar-goto-enable-p                                     431         0.0003190000  7.401...e-07
proof-append-alist                                              1           0.000315      0.000315
proof-next-element-count                                        100         0.0002809999  2.809...e-06
proof-toolbar-interrupt-enable-p                                431         0.0002599999  6.032...e-07
pg-response-display-with-face                                   2           0.000134      6.7e-05
proof-debug                                                     100         0.0001269999  1.269...e-06
proof-segment-up-to-using-cache                                 1           9e-05         9e-05
proof-segment-cache-contents-for                                1           7.9e-05       7.9e-05
proof-re-search-backward                                        1           5.1e-05       5.1e-05
proof-shell-handle-delayed-output                               1           2.3e-05       2.3e-05
proof-shell-ready-prover                                        2           1.9e-05       9.5e-06
proof-activate-scripting                                        1           1.7e-05       1.7e-05
pg-response-maybe-erase                                         2           1.7e-05       8.5e-06
pg-response-display                                             1           1.6e-05       1.6e-05
proof-shell-start                                               2           1.300...e-05  6.500...e-06
proof-shell-strip-eager-annotations                             1           1.3e-05       1.3e-05
proof-grab-lock                                                 1           1.1e-05       1.1e-05
proof-maybe-follow-locked-end                                   1           9e-06         9e-06
proof-shell-stop-silent-item                                    1           6e-06         6e-06
proof-shell-start-silent-item                                   1           5e-06         5e-06
proof-queue-or-locked-end                                       4           4e-06         1e-06
proof-shell-action-list-item                                    2           3e-06         1.5e-06
proof-script-next-command-advance                               1           2e-06         2e-06
proof-shell-set-silent                                          1           1e-06         1e-06
proof-shell-should-be-silent                                    1           1e-06         1e-06
proof-shell-clear-silent                                        1           1e-06         1e-06
proof-pbp-focus-on-first-goal                                   1           1e-06         1e-06
proof-display-and-keep-buffer                                   1           1e-06         1e-06
proof-release-lock                                              1           1e-06         1e-06
pg-finish-tracing-display                                       1           1e-06         1e-06


-----------------------------------------------------------------
